15	7	4	9	12	15	14
15	15	8	7	5	7	15
13	8	15	12	13	6	15
6	6	11	7	5	11	10
7	9	8	11	7	7	8
13	8	6	14	13	7	8
14	4	7	13	6	14	12
9	12	5	15	15	13	8
14	12	11	7	4	12	13
14	8	9	10	7	7	7
7	10	14	13	14	7	15
12	13	4	8	9	13	4
14	6	6	15	9	13	4
8	11	15	11	14	13	6
5	6	15	15	15	10	13
9	15	8	9	5	6	6
14	9	11	4	9	15	8
7	14	5	15	14	15	9
7	6	10	8	8	13	14
5	13	13	12	4	14	4
14	4	8	10	6	11	6
5	4	14	10	6	11	11
9	13	8	10	9	13	11
5	5	5	12	6	7	7
11	6	7	6	5	8	13
9	15	12	4	12	5	15
13	13	5	8	6	5	7
13	14	12	15	4	5	9
6	15	15	8	10	10	14
12	6	8	6	12	5	9
